Unidades da Federação;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFORMA;CICLOMOTOR;MICROÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;REGIÃO;MÊS;ANO
Mato Grosso do Sul;1.362.613;632.288;10;47.884;14.268;133.265;32.961;39;1.323;3.396;332.906;96.885;8.727;1;25.508;23.608;173.0;145.0;4;212.0;422.0;8.588;centro-oeste;abril;2015
Acre ;230.530;74.889;  -   ;6.708;698.0;22.063;3.830;10;250.0;329.0;96.284;19.899;1.022;  -   ;2.224;1.107;60.0;18.0;  -   ;1.0;138.0;1.0;norte;maio;2015
Amapá ;169.309;71.163;  -   ;3.973;290.0;18.554;4.015;14;844.0;451.0;55.307;10.585;1.096;  -   ;1.006;946.0;50.0;9.0;  -   ;5.0;226.0;775.0;norte;maio;2015
Amazonas;774.754;351.943;  -   ;19.82;2.913;78.415;26.243;37;1.539;3.445;212.720;48.022;8.838;  -   ;2.338;12.249;7.0;77.0;  -   ;69.0;1.307;4.772;norte;maio;2015
Pará ;1.642.810;506.161;  -   ;55.023;6.812;117.232;34.233;95;4.177;6.317;698.671;154.655;16.316;1;17.896;12.825;161.0;108.0;  -   ;101.0;1.177;10.849;norte;maio;2015
Rondônia ;838.170;236.358;  -   ;28.637;5.619;74.940;10.475;9;752.0;1.126;347.211;103.853;5.219;  -   ;10.753;10.211;40.0;31.0;1;38.0;277.0;2.62;norte;maio;2015
Roraima;184.097;60.298;  -   ;4.252;531.0;20.860;4.279;  -   ;823.0;618.0;70.822;17.742;917.0;  -   ;918.0;973.0;4.0;9.0;  -   ;2.0;59.0;990.0;norte;maio;2015
Tocantins;589.687;179.283;  -   ;21.929;4.363;54.618;9.217;3;1.761;1.569;202.238;82.363;4.996;  -   ;18.152;6.302;112.0;35.0;  -   ;37.0;94.0;2.615;norte;maio;2015
Alagoas;692.029;303.526;  -   ;20.081;2.188;46.389;17.676;28;53.0;5.942;231.552;33.698;6.634;1;13.46;6.021;49.0;40.0;  -   ;17.0;204.0;4.47;nordeste;maio;2015
Bahia;3.518.554;1.566.300;3;111.945;19.31;292.330;93.612;198;3.697;25.743;1.118.588;159.772;36.87;1;36.383;29.758;667.0;150.0;3;227.0;1.839;21.158;nordeste;maio;2015
Ceará;2.670.003;980.231;  -   ;66.401;7.359;163.843;52.383;117;709.0;10.712;1.172.202;136.124;15.349;  -   ;28.645;10.14;334.0;109.0;  -   ;232.0;1.186;23.927;nordeste;maio;2015
Maranhão ;1.395.405;371.142;  -   ;36.446;3.577;96.080;19.834;82;9.299;4.35;700.040;126.105;7.697;  -   ;7.832;5.417;38.0;43.0;  -   ;61.0;312.0;7.05;nordeste;maio;2015
Paraíba ;1.067.361;450.012;  -   ;27.433;2.573;69.111;22.958;20;141.0;4.285;409.547;57.321;6.866;1;5.683;4.013;28.0;37.0;  -   ;31.0;325.0;6.976;nordeste;maio;2015
Pernambuco ;2.627.819;1.178.805;  -   ;89.168;10.869;160.157;80.369;92;1.175;17.269;914.885;93.208;18.865;1;28.627;17.963;142.0;98.0;  -   ;307.0;1.115;14.704;nordeste;maio;2015
Piauí;979.943;291.251;  -   ;25.346;2.234;69.215;14.068;34;5.915;3.009;467.397;82.494;5.935;  -   ;3.924;3.315;201.0;39.0;  -   ;75.0;932.0;4.559;nordeste;maio;2015
