Unidades da Federação;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFORMA;CICLOMOTOR;MICROÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;REGIÃO;MÊS;ANO
Roraima;253.215;87.663;  -   ;5.891;1.3;33.391;5.707;  -   ;986.0;758.0;87.038;22.519;1.348;  -   ;1.694;2.237;4.0;831.0;  -   ;4.0;78.0;1.766;norte;março;2022
Tocantins;799.090;249.206;  -   ;24.214;7.886;79.837;13.719;2;1.934;1.773;256.636;107.328;6.198;1;22.913;11.439;112.0;9.174;  -   ;43.0;151.0;6.524;norte;março;2022
Alagoas;992.746;406.725;  -   ;24.072;3.037;63.997;25.522;24;13.477;7.368;349.076;49.460;9.415;1;19.194;7.881;49.0;3.373;  -   ;26.0;278.0;9.771;nordeste;março;2022
Bahia;4.734.254;2.052.406;3;130.861;27.011;425.369;136.480;182;19.545;32.173;1.465.110;238.949;44.026;4;58.057;44.063;667.0;11.624;3;302.0;2.759;44.66;nordeste;março;2022
Ceará;3.537.690;1.274.611;  -   ;78.364;11.019;223.641;68.922;111;10.483;13.098;1.529.507;198.503;19.068;7;33.936;16.628;333.0;10.937;  -   ;235.0;1.602;46.685;nordeste;março;2022
Maranhão ;1.959.012;504.356;  -   ;45.958;6.942;145.769;28.260;66;10.937;5.588;965.481;190.730;10.643;1;12.089;11.893;39.0;4.8;  -   ;72.0;471.0;14.917;nordeste;março;2022
Paraíba ;1.481.765;598.015;  -   ;30.94;3.429;97.138;32.102;15;32.995;5.372;557.767;80.025;8.149;1;8.894;5.508;28.0;2.792;  -   ;42.0;481.0;18.072;nordeste;março;2022
Pernambuco ;3.356.987;1.441.167;  -   ;96.566;14.128;209.552;101.250;83;44.125;20.44;1.167.981;134.069;21.558;1;44.036;22.592;142.0;5.906;  -   ;325.0;1.639;31.427;nordeste;março;2022
Piauí;1.349.197;409.402;  -   ;33.314;3.801;105.687;19.697;31;6.659;4.674;616.902;112.076;8.913;  -   ;6.802;6.03;200.0;2.722;  -   ;82.0;1.227;10.978;nordeste;março;2022
Rio Grande do Norte ;1.454.285;617.121;  -   ;39.818;4.347;102.259;35.507;18;29.03;5.674;486.069;72.654;7.885;1;13.943;8.84;57.0;5.533;  -   ;136.0;581.0;24.812;nordeste;março;2022
Sergipe;878.846;361.955;  -   ;22.967;3.065;50.296;19.296;18;29.413;3.605;288.998;55.098;8.008;  -   ;22.313;4.159;42.0;1.445;1;142.0;485.0;7.54;nordeste;março;2022
Espírito Santo;2.176.707;1.054.054;  -   ;79.411;21.254;198.814;68.809;12;1.985;9.09;494.717;129.030;16.266;2;29.477;28.95;132.0;10.49;14;2.418;2.416;29.366;sudeste;março;2022
Minas Gerais ;12.592.323;6.812.431;  -   ;364.646;92.199;1.134.687;399.002;22;51.668;50.53;2.784.062;341.068;86.001;14;213.805;109.103;1.425;24.874;48;2.402;6.408;117.928;sudeste;março;2022
Rio de Janeiro;7.335.344;4.815.103;  -   ;148.013;19.782;387.678;337.283;57;45.068;40.689;1.086.212;207.071;42.512;12;68.165;23.84;206.0;20.949;1;741.0;2.714;89.248;sudeste;março;2022
São Paulo ;31.620.839;19.362.595;24;706.298;204.724;2.190.258;1.379.932;557;59.443;126.154;5.158.606;1.095.844;168.938;91;398.837;295.908;1.922;37.322;55;12.056;6.576;414.699;sudeste;março;2022
Paraná;8.388.988;4.822.874;3;291.366;107.211;756.113;288.922;62;9.588;25.174;1.284.155;337.900;47.903;68;157.482;153.956;597.0;7.175;14;2.178;2.282;93.965;sul;março;2022
Rio Grande do Sul ;7.725.690;4.622.626;2;247.396;71.742;617.563;315.656;108;7.488;22.402;1.157.689;209.160;42.636;47;203.396;86.925;446.0;15.787;38;8.794;1.286;94.503;sul;março;2022
Santa Catarina;5.824.833;3.240.941;  -   ;165.781;66.25;467.500;239.414;30;2.686;13.771;952.839;303.019;22.211;14;129.48;90.72;683.0;18.893;14;3.579;917.0;106.091;sul;março;2022
Distrito Federal;1.989.376;1.374.961;  -   ;26.147;4.099;145.832;98.004;17;1.333;6.43;221.187;24.484;13.22;2;25.216;5.161;712.0;1.602;6;593.0;669.0;39.701;centro-oeste;março;2022
Goiás;4.404.247;2.037.494;  -   ;121.678;38.158;419.586;117.269;55;31.731;10.952;961.880;315.464;25.028;1;167.314;60.837;141.0;50.792;4;271.0;1.127;44.465;centro-oeste;março;2022
Mato Grosso;2.469.540;845.717;  -   ;86.101;45.808;277.797;56.776;3;7.634;4.341;693.621;273.627;13.974;3;49.306;81.2;136.0;7.499;6;152.0;1.056;24.783;centro-oeste;março;2022
Mato Grosso do Sul;1.776.875;811.204;10;59.025;22.427;185.554;47.228;33;3.839;4.435;403.163;126.438;10.646;3;39.357;38.424;174.0;4.593;4;282.0;569.0;19.467;centro-oeste;março;2022
Acre ;324.098;99.821;  -   ;8.071;1.269;31.086;4.805;10;830.0;437.0;136.218;31.844;1.404;  -   ;3.076;1.927;60.0;1.371;  -   ;4.0;181.0;1.684;norte;abril;2022
Amapá ;226.478;94.576;  -   ;4.53;518.0;25.837;5.244;14;951.0;513.0;72.811;14.969;1.505;  -   ;1.434;1.558;50.0;215.0;  -   ;10.0;420.0;1.323;norte;abril;2022
Amazonas;1.027.973;440.496;  -   ;21.882;4.42;98.967;28.683;37;2.087;3.698;314.995;74.306;10.36;  -   ;3.733;14.674;7.0;623.0;  -   ;90.0;2.04;6.875;norte;abril;2022
Pará ;2.384.616;703.258;  -   ;69.099;12.398;190.105;47.630;94;6.003;7.401;1.015.086;235.780;21.201;2;26.614;21.139;166.0;6.138;1;149.0;2.157;20.195;norte;abril;2022
Rondônia ;1.125.358;324.742;  -   ;32.445;8.393;116.634;15.619;8;3.099;1.475;433.806;139.412;6.888;3;16.605;15.232;40.0;3.901;2;50.0;353.0;6.651;norte;abril;2022
Roraima;254.198;87.932;  -   ;5.912;1.313;33.525;5.771;  -   ;986.0;764.0;87.286;22.673;1.353;  -   ;1.707;2.261;4.0;832.0;  -   ;4.0;78.0;1.797;norte;abril;2022
Tocantins;801.575;249.750;  -   ;24.277;7.947;80.087;13.802;2;1.933;1.771;257.366;107.707;6.201;1;23.072;11.578;112.0;9.171;  -   ;44.0;154.0;6.6;norte;abril;2022
Alagoas;997.326;407.780;  -   ;24.232;3.061;64.273;25.722;24;13.645;7.386;351.093;49.790;9.467;1;19.331;7.895;49.0;3.371;  -   ;26.0;279.0;9.901;nordeste;abril;2022
Bahia;4.746.834;2.055.564;3;131.117;27.111;426.439;136.884;182;19.749;32.223;1.469.823;240.415;44.195;4;58.513;44.2;667.0;11.631;3;309.0;2.766;45.036;nordeste;abril;2022
Ceará;3.546.444;1.276.495;  -   ;78.467;11.05;224.284;69.201;111;10.552;13.109;1.533.641;199.402;19.135;7;34.165;16.704;333.0;10.938;  -   ;235.0;1.603;47.012;nordeste;abril;2022
Maranhão ;1.965.990;505.553;  -   ;46.117;7.065;146.371;28.447;66;10.984;5.61;968.495;191.735;10.678;1;12.24;12.181;39.0;4.808;  -   ;74.0;472.0;15.054;nordeste;abril;2022
Paraíba ;1.485.899;599.054;  -   ;30.993;3.429;97.341;32.246;15;33.168;5.38;559.638;80.409;8.16;1;8.967;5.511;28.0;2.793;  -   ;42.0;484.0;18.24;nordeste;abril;2022
Pernambuco ;3.365.010;1.442.219;  -   ;96.608;14.176;210.062;101.522;83;44.32;20.485;1.172.120;135.060;21.6;1;44.285;22.721;142.0;5.912;  -   ;324.0;1.648;31.722;nordeste;abril;2022
Piauí;1.352.646;410.017;  -   ;33.316;3.822;105.926;19.757;32;6.668;4.692;618.676;112.502;8.925;  -   ;6.877;6.131;200.0;2.722;  -   ;82.0;1.227;11.074;nordeste;abril;2022
Rio Grande do Norte ;1.458.207;618.061;  -   ;39.844;4.365;102.495;35.689;18;29.166;5.684;487.706;73.086;7.897;1;14.059;8.854;57.0;5.533;  -   ;137.0;582.0;24.973;nordeste;abril;2022
Sergipe;881.493;362.291;  -   ;22.981;3.065;50.433;19.359;18;29.6;3.604;290.273;55.530;8.033;  -   ;22.416;4.169;42.0;1.446;1;140.0;485.0;7.607;nordeste;abril;2022
Espírito Santo;2.182.062;1.055.461;  -   ;79.501;21.382;199.368;69.101;12;2.02;9.099;496.147;129.828;16.27;2;29.69;29.096;132.0;10.498;14;2.432;2.426;29.583;sudeste;abril;2022
Minas Gerais ;12.628.348;6.826.212;  -   ;365.441;92.545;1.140.026;401.752;22;51.721;50.629;2.791.922;342.871;86.177;14;214.567;109.48;1.425;24.89;48;2.413;6.416;119.777;sudeste;abril;2022
Rio de Janeiro;7.347.740;4.818.442;  -   ;148.129;19.906;388.490;338.217;57;45.112;40.682;1.090.539;208.623;42.4;12;68.596;23.959;207.0;20.97;1;743.0;2.723;89.932;sudeste;abril;2022
São Paulo ;31.685.902;19.385.601;24;707.2;205.503;2.194.831;1.385.027;556;59.652;126.25;5.174.530;1.102.821;168.942;91;400.8;297.082;1.922;37.408;55;12.078;6.633;418.896;sudeste;abril;2022
Paraná;8.405.759;4.828.435;3;291.875;107.578;757.929;290.106;61;9.64;25.202;1.287.642;339.455;48.059;68;158.196;154.518;597.0;7.197;14;2.18;2.287;94.717;sul;abril;2022
Rio Grande do Sul ;7.738.674;4.627.529;2;247.922;72.066;618.988;316.956;107;7.535;22.445;1.159.653;209.792;42.638;47;204.053;87.219;446.0;15.911;38;8.819;1.29;95.218;sul;abril;2022
Santa Catarina;5.839.494;3.245.905;  -   ;166.12;66.599;469.040;240.737;30;2.705;13.789;955.441;303.954;22.318;14;130.417;91.131;683.0;18.99;14;3.599;920.0;107.088;sul;abril;2022
Distrito Federal;1.992.304;1.375.649;  -   ;26.208;4.124;146.044;98.264;17;1.337;6.458;222.262;24.721;13.256;2;25.251;5.164;712.0;1.621;6;593.0;670.0;39.945;centro-oeste;abril;2022
Goiás;4.419.215;2.041.998;  -   ;122.071;38.438;421.647;117.871;54;32.007;10.97;964.785;316.680;25.105;1;168.614;61.352;141.0;50.797;4;273.0;1.129;45.278;centro-oeste;abril;2022
Mato Grosso;2.479.431;848.219;  -   ;86.533;46.209;279.334;57.192;3;7.637;4.371;695.419;274.803;14.059;3;49.869;81.822;136.0;7.514;6;152.0;1.062;25.088;centro-oeste;abril;2022
Mato Grosso do Sul;1.781.167;812.415;10;59.273;22.549;186.030;47.414;33;3.847;4.452;404.079;126.933;10.667;3;39.607;38.607;174.0;4.601;4;281.0;572.0;19.616;centro-oeste;abril;2022
Acre ;325.492;99.971;  -   ;8.072;1.283;31.173;4.826;10;848.0;438.0;136.952;32.137;1.405;  -   ;3.111;1.957;60.0;1.371;  -   ;4.0;182.0;1.692;norte;maio;2022
Amapá ;227.289;94.759;  -   ;4.56;523.0;25.902;5.265;14;951.0;514.0;73.121;15.084;1.505;  -   ;1.443;1.61;50.0;215.0;  -   ;10.0;420.0;1.343;norte;maio;2022
Amazonas;1.033.000;441.142;  -   ;21.962;4.435;99.221;28.780;37;2.09;3.713;317.856;75.158;10.369;  -   ;3.772;14.738;7.0;623.0;  -   ;90.0;2.049;6.958;norte;maio;2022
Pará ;2.396.478;705.309;  -   ;69.368;12.567;191.176;47.878;94;6.021;7.407;1.020.446;237.619;21.269;2;26.866;21.34;166.0;6.153;1;150.0;2.185;20.461;norte;maio;2022
Rondônia ;1.129.158;325.375;  -   ;32.457;8.417;117.287;15.708;8;3.108;1.481;435.291;140.014;6.909;3;16.743;15.268;40.0;3.902;2;50.0;353.0;6.742;norte;maio;2022
Roraima;255.149;88.205;  -   ;5.941;1.328;33.639;5.827;  -   ;986.0;764.0;87.583;22.786;1.353;  -   ;1.728;2.278;4.0;833.0;  -   ;4.0;78.0;1.812;norte;maio;2022
Tocantins;805.417;250.526;  -   ;24.354;8.049;80.581;13.904;2;1.934;1.778;258.531;108.337;6.206;1;23.284;11.719;112.0;9.172;  -   ;44.0;154.0;6.729;norte;maio;2022
Alagoas;1.001.719;408.678;  -   ;24.491;3.066;64.494;25.893;24;13.792;7.408;353.129;50.146;9.501;1;19.46;7.909;49.0;3.374;  -   ;27.0;281.0;9.996;nordeste;maio;2022
Bahia;4.763.312;2.059.859;3;131.382;27.257;427.938;137.431;182;19.976;32.312;1.475.976;242.318;44.347;4;59.09;44.428;667.0;11.64;3;309.0;2.769;45.421;nordeste;maio;2022
Ceará;3.556.862;1.278.834;  -   ;78.557;11.094;224.877;69.587;111;10.658;13.123;1.538.559;200.587;19.166;7;34.386;16.767;333.0;10.939;  -   ;237.0;1.603;47.437;nordeste;maio;2022
Maranhão ;1.974.041;506.899;  -   ;46.263;7.144;147.044;28.614;66;11.038;5.628;972.176;193.103;10.724;1;12.421;12.315;39.0;4.812;  -   ;74.0;476.0;15.204;nordeste;maio;2022
Paraíba ;1.490.452;600.072;  -   ;31.073;3.443;97.569;32.367;15;33.392;5.391;561.743;80.893;8.172;1;9.037;5.518;28.0;2.794;  -   ;42.0;485.0;18.417;nordeste;maio;2022
Pernambuco ;3.374.554;1.443.487;  -   ;96.68;14.218;210.592;101.830;83;44.599;20.493;1.177.280;136.197;21.702;1;44.565;22.782;142.0;5.914;  -   ;327.0;1.657;32.005;nordeste;maio;2022
Piauí;1.357.210;410.809;  -   ;33.353;3.862;106.340;19.874;32;6.695;4.706;620.969;113.046;8.936;  -   ;6.981;6.211;200.0;2.722;  -   ;82.0;1.23;11.162;nordeste;maio;2022
Rio Grande do Norte ;1.462.446;619.088;  -   ;39.845;4.381;102.829;35.849;19;29.274;5.689;489.465;73.575;7.904;1;14.199;8.888;57.0;5.531;  -   ;137.0;580.0;25.135;nordeste;maio;2022
Sergipe;884.969;362.890;  -   ;22.959;3.066;50.593;19.459;18;29.875;3.6;291.905;56.049;8.065;  -   ;22.516;4.195;42.0;1.449;1;140.0;484.0;7.663;nordeste;maio;2022
Espírito Santo;2.189.332;1.057.486;  -   ;79.683;21.478;200.057;69.482;12;2.064;9.179;498.281;130.795;16.264;2;29.917;29.289;132.0;10.506;14;2.431;2.451;29.809;sudeste;maio;2022
Minas Gerais ;12.678.394;6.845.993;  -   ;366.613;92.912;1.149.688;405.432;22;51.792;50.813;2.801.366;344.956;86.321;14;215.64;109.779;1.424;24.905;48;2.416;6.44;121.82;sudeste;maio;2022
Rio de Janeiro;7.363.236;4.822.644;  -   ;148.368;20.078;389.267;339.314;57;45.184;40.674;1.096.250;210.508;42.362;12;69.116;24.052;207.0;20.978;1;752.0;2.736;90.676;sudeste;maio;2022
São Paulo ;31.771.416;19.419.171;24;708.218;206.309;2.200.813;1.390.939;554;59.957;126.406;5.196.191;1.110.677;169.103;92;403.136;298.727;1.923;37.468;55;12.12;6.673;422.86;sudeste;maio;2022
Paraná;8.426.152;4.836.509;3;292.451;107.809;760.047;291.237;61;9.698;25.224;1.291.701;341.132;48.3;70;159.018;155.045;597.0;7.216;14;2.195;2.297;95.528;sul;maio;2022
Rio Grande do Sul ;7.753.240;4.633.338;2;248.461;72.411;620.601;318.297;107;7.6;22.465;1.162.019;210.441;42.675;47;204.745;87.49;446.0;16.001;38;8.858;1.293;95.905;sul;maio;2022
Santa Catarina;5.855.145;3.251.329;  -   ;166.503;66.938;470.532;242.008;30;2.726;13.808;958.329;305.155;22.384;14;131.399;91.674;683.0;19.072;14;3.607;918.0;108.022;sul;maio;2022
Distrito Federal;1.997.004;1.377.185;  -   ;26.285;4.146;146.584;98.588;17;1.342;6.45;223.714;24.962;13.302;1;25.304;5.186;712.0;1.64;6;594.0;671.0;40.315;centro-oeste;maio;2022
Goiás;4.433.964;2.045.886;  -   ;122.354;38.721;423.650;118.449;54;32.357;10.987;967.917;318.192;25.155;1;170.132;61.835;141.0;50.808;4;275.0;1.133;45.913;centro-oeste;maio;2022
Mato Grosso;2.490.853;851.020;  -   ;87.019;46.623;281.110;57.598;3;7.639;4.397;697.599;276.211;14.156;3;50.553;82.554;136.0;7.544;6;157.0;1.063;25.462;centro-oeste;maio;2022
Mato Grosso do Sul;1.786.555;814.051;10;59.497;22.659;186.612;47.616;33;3.859;4.476;405.271;127.568;10.692;3;39.916;38.854;174.0;4.607;4;283.0;574.0;19.796;centro-oeste;maio;2022
Acre ;326.740;100.133;  -   ;8.08;1.29;31.304;4.844;10;862.0;439.0;137.544;32.362;1.412;  -   ;3.146;1.983;60.0;1.371;  -   ;4.0;183.0;1.713;norte;junho;2022
Amapá ;228.080;94.969;  -   ;4.59;528.0;26.013;5.280;14;951.0;517.0;73.376;15.159;1.506;  -   ;1.452;1.661;50.0;216.0;  -   ;10.0;420.0;1.368;norte;junho;2022
Amazonas;1.038.419;441.864;  -   ;22.013;4.47;99.607;28.855;37;2.09;3.72;320.896;76.021;10.414;  -   ;3.825;14.786;7.0;624.0;  -   ;89.0;2.063;7.038;norte;junho;2022
Pará ;2.407.147;706.640;  -   ;69.609;12.675;192.117;48.114;94;6.034;7.41;1.025.594;239.526;21.337;2;27.116;21.5;166.0;6.161;1;148.0;2.211;20.692;norte;junho;2022
Rondônia ;1.133.152;326.039;  -   ;32.482;8.471;118.013;15.805;8;3.11;1.482;436.630;140.755;6.923;3;16.888;15.366;40.0;3.904;2;50.0;352.0;6.829;norte;junho;2022
Roraima;256.091;88.471;  -   ;5.962;1.343;33.772;5.850;  -   ;986.0;765.0;87.884;22.928;1.356;  -   ;1.744;2.291;4.0;834.0;  -   ;4.0;79.0;1.818;norte;junho;2022
Tocantins;809.034;251.142;  -   ;24.385;8.127;81.006;14.021;2;1.937;1.782;259.840;108.872;6.209;1;23.551;11.86;112.0;9.169;  -   ;44.0;154.0;6.82;norte;junho;2022
Alagoas;1.005.482;409.586;  -   ;24.608;3.078;64.676;26.011;24;13.92;7.429;354.846;50.436;9.523;1;19.588;7.933;49.0;3.381;  -   ;46.0;281.0;10.066;nordeste;junho;2022
Bahia;4.778.782;2.064.054;3;131.736;27.408;429.511;138.070;182;20.165;32.383;1.481.454;243.889;44.467;4;59.606;44.586;667.0;11.643;3;312.0;2.778;45.861;nordeste;junho;2022
Ceará;3.566.827;1.281.152;  -   ;78.702;11.127;225.571;69.917;111;10.724;13.15;1.543.044;201.676;19.211;7;34.664;16.83;333.0;10.941;  -   ;242.0;1.607;47.818;nordeste;junho;2022
Maranhão ;1.981.958;508.300;  -   ;46.424;7.203;147.714;28.771;66;11.129;5.644;975.859;194.270;10.751;1;12.604;12.435;39.0;4.819;  -   ;76.0;481.0;15.372;nordeste;junho;2022
Paraíba ;1.494.488;600.945;  -   ;31.128;3.449;97.718;32.475;15;33.556;5.407;563.617;81.286;8.342;1;9.105;5.529;28.0;2.794;  -   ;42.0;487.0;18.564;nordeste;junho;2022
Pernambuco ;3.383.391;1.444.741;  -   ;96.758;14.276;211.063;102.242;83;44.813;20.516;1.181.959;137.164;21.757;1;44.798;22.834;142.0;5.915;  -   ;329.0;1.676;32.324;nordeste;junho;2022
Piauí;1.360.877;411.419;  -   ;33.379;3.899;106.616;19.975;32;6.712;4.714;622.926;113.503;8.95;  -   ;7.02;6.272;200.0;2.723;  -   ;83.0;1.229;11.225;nordeste;junho;2022
Rio Grande do Norte ;1.465.329;619.734;  -   ;39.832;4.397;103.025;35.939;19;29.323;5.694;490.856;73.909;7.906;1;14.275;8.898;57.0;5.532;  -   ;137.0;579.0;25.216;nordeste;junho;2022
Sergipe;887.613;363.323;  -   ;23.003;3.074;50.716;19.571;18;30.056;3.596;293.110;56.400;8.105;  -   ;22.603;4.198;42.0;1.448;1;140.0;484.0;7.725;nordeste;junho;2022
Espírito Santo;2.196.149;1.059.133;  -   ;79.908;21.566;200.758;69.929;12;2.094;9.205;500.353;131.667;16.272;2;30.172;29.419;132.0;10.51;14;2.44;2.459;30.104;sudeste;junho;2022
Minas Gerais ;12.725.134;6.868.415;  -   ;367.528;93.62;1.155.727;408.420;22;51.858;50.938;2.810.294;346.726;86.454;14;216.504;110.161;1.424;24.92;48;2.416;6.458;123.187;sudeste;junho;2022
Rio de Janeiro;7.378.108;4.827.124;  -   ;148.529;20.348;390.033;340.425;57;45.238;40.695;1.101.458;212.129;42.353;12;69.548;24.142;207.0;20.98;1;753.0;2.755;91.321;sudeste;junho;2022
São Paulo ;31.848.666;19.450.435;24;709.319;207.029;2.206.102;1.396.166;553;60.234;126.434;5.215.412;1.117.367;169.327;92;405.08;299.977;1.923;37.531;55;12.169;6.698;426.739;sudeste;junho;2022
Paraná;8.445.853;4.843.275;3;293.011;108.264;762.933;292.545;59;9.753;25.245;1.295.606;342.628;48.373;71;159.68;155.734;597.0;7.225;14;2.197;2.302;96.338;sul;junho;2022
Rio Grande do Sul ;7.767.407;4.638.625;2;248.896;72.892;622.199;319.680;107;7.648;22.526;1.164.371;211.057;42.714;47;205.464;87.823;446.0;16.077;38;8.87;1.294;96.631;sul;junho;2022
Santa Catarina;5.869.715;3.255.913;  -   ;166.873;67.412;472.012;243.288;30;2.753;13.813;961.030;306.049;22.441;14;132.399;92.237;683.0;19.164;37;3.613;921.0;109.033;sul;junho;2022
Distrito Federal;2.000.171;1.377.783;  -   ;26.353;4.15;146.949;98.940;17;1.344;6.457;224.893;25.229;13.301;1;25.349;5.187;712.0;1.654;6;594.0;672.0;40.58;centro-oeste;junho;2022
Goiás;4.450.703;2.050.298;  -   ;122.767;39.055;426.152;119.385;54;32.655;11.013;971.097;319.466;25.234;1;171.681;62.47;141.0;50.806;4;271.0;1.137;47.016;centro-oeste;junho;2022
Mato Grosso;2.501.938;853.518;  -   ;87.51;47.039;283.021;58.140;3;7.644;4.419;699.581;277.477;14.227;3;51.245;83.367;136.0;7.583;6;159.0;1.071;25.789;centro-oeste;junho;2022
Mato Grosso do Sul;1.791.721;815.570;10;59.701;22.805;187.270;47.833;33;3.869;4.499;406.358;128.132;10.7;3;40.218;39.079;174.0;4.611;4;284.0;575.0;19.993;centro-oeste;junho;2022
Acre ;327.812;100.369;  -   ;8.096;1.298;31.382;4.871;10;872.0;442.0;137.984;32.521;1.42;  -   ;3.185;2.021;60.0;1.371;  -   ;4.0;184.0;1.722;norte;julho;2022
Amapá ;228.731;95.136;  -   ;4.608;531.0;26.116;5.299;14;951.0;517.0;73.595;15.252;1.505;  -   ;1.457;1.665;50.0;217.0;  -   ;10.0;420.0;1.388;norte;julho;2022
Amazonas;1.042.342;442.605;  -   ;22.079;4.514;99.850;28.885;37;2.092;3.725;322.930;76.591;10.419;  -   ;3.875;14.861;7.0;629.0;  -   ;89.0;2.084;7.07;norte;julho;2022
Pará ;2.417.786;708.369;  -   ;69.888;12.763;193.220;48.412;94;6.065;7.425;1.030.166;241.266;21.383;2;27.406;21.683;166.0;6.184;1;148.0;2.231;20.914;norte;julho;2022
Rondônia ;1.136.804;326.738;  -   ;32.506;8.538;118.659;15.895;8;3.112;1.484;437.940;141.202;6.952;3;17.051;15.458;40.0;3.903;2;50.0;353.0;6.91;norte;julho;2022
Roraima;257.140;88.816;  -   ;5.989;1.354;33.937;5.886;  -   ;986.0;770.0;88.162;23.045;1.371;  -   ;1.757;2.316;4.0;834.0;  -   ;4.0;79.0;1.83;norte;julho;2022
Tocantins;812.459;251.934;  -   ;24.485;8.194;81.467;14.128;2;1.938;1.782;260.787;109.315;6.213;1;23.851;11.996;112.0;9.168;  -   ;44.0;154.0;6.888;norte;julho;2022
Alagoas;1.009.827;410.665;  -   ;24.806;3.111;64.945;26.177;24;14.052;7.462;356.589;50.739;9.587;1;19.707;7.972;49.0;3.393;  -   ;79.0;281.0;10.188;nordeste;julho;2022
Bahia;4.795.622;2.068.861;3;132.103;27.637;431.234;138.622;182;20.323;32.475;1.487.032;245.562;44.683;4;60.139;44.98;667.0;11.658;3;314.0;2.796;46.344;nordeste;julho;2022
Ceará;3.575.394;1.283.436;  -   ;78.825;11.171;226.241;70.302;111;10.784;13.166;1.546.606;202.413;19.254;7;34.886;16.902;333.0;10.945;  -   ;244.0;1.608;48.16;nordeste;julho;2022
Maranhão ;1.989.116;509.958;  -   ;46.552;7.27;148.408;28.945;66;11.232;5.641;978.735;195.215;10.782;1;12.801;12.551;39.0;4.818;  -   ;78.0;482.0;15.542;nordeste;julho;2022
Paraíba ;1.498.434;601.985;  -   ;31.217;3.456;98.001;32.586;15;33.703;5.402;565.285;81.668;8.333;1;9.187;5.547;28.0;2.797;  -   ;43.0;486.0;18.694;nordeste;julho;2022
Pernambuco ;3.390.973;1.445.444;  -   ;96.773;14.316;211.619;102.517;83;45.001;20.56;1.186.068;138.059;21.868;1;45.086;22.986;142.0;5.961;  -   ;330.0;1.682;32.477;nordeste;julho;2022
Piauí;1.364.181;412.093;  -   ;33.412;3.933;106.812;20.057;32;6.729;4.733;624.470;113.949;8.983;  -   ;7.093;6.334;200.0;2.731;  -   ;83.0;1.233;11.304;nordeste;julho;2022
Rio Grande do Norte ;1.469.567;621.129;  -   ;39.873;4.413;103.291;36.157;19;29.395;5.716;492.383;74.253;7.916;1;14.394;8.932;57.0;5.532;  -   ;137.0;581.0;25.388;nordeste;julho;2022
Sergipe;890.488;363.881;  -   ;23.019;3.095;50.864;19.617;18;30.238;3.599;294.306;56.852;8.15;  -   ;22.708;4.231;42.0;1.447;1;141.0;485.0;7.794;nordeste;julho;2022
Espírito Santo;2.202.808;1.061.171;  -   ;80.024;21.698;201.520;70.292;12;2.13;9.215;502.174;132.319;16.284;2;30.415;29.617;132.0;10.532;14;2.448;2.472;30.337;sudeste;julho;2022
Minas Gerais ;12.769.463;6.886.318;  -   ;368.958;94.391;1.163.200;411.365;22;51.928;51.016;2.819.193;348.408;86.559;14;217.602;110.652;1.424;24.949;48;2.424;6.484;124.508;sudeste;julho;2022
Rio de Janeiro;7.396.914;4.833.604;  -   ;148.724;20.453;391.029;341.572;57;45.311;40.716;1.107.928;214.049;42.317;12;70.035;24.336;207.0;20.997;1;759.0;2.76;92.047;sudeste;julho;2022
São Paulo ;31.920.712;19.481.844;24;710.202;207.689;2.211.399;1.401.071;552;60.507;126.392;5.231.602;1.123.080;169.215;92;407.262;301.11;1.924;37.632;55;12.223;6.74;430.097;sudeste;julho;2022
Paraná;8.465.585;4.851.069;3;293.695;108.673;765.134;294.040;59;9.806;25.274;1.299.148;344.034;48.458;71;160.352;156.131;596.0;7.266;14;2.221;2.3;97.241;sul;julho;2022
Rio Grande do Sul ;7.782.724;4.645.465;2;249.353;73.294;624.067;321.064;105;7.689;22.569;1.166.257;211.521;42.704;47;206.208;88.131;446.0;16.209;38;8.89;1.305;97.36;sul;julho;2022
Santa Catarina;5.884.918;3.261.520;  -   ;167.153;67.862;473.672;244.650;30;2.798;13.835;963.347;306.682;22.488;14;133.366;92.901;683.0;19.289;37;3.622;919.0;110.05;sul;julho;2022
Distrito Federal;2.002.242;1.378.096;  -   ;26.448;4.15;147.187;99.102;17;1.35;6.466;225.629;25.353;13.387;1;25.381;5.161;712.0;1.664;6;595.0;674.0;40.863;centro-oeste;julho;2022
Goiás;4.464.816;2.054.805;  -   ;123.12;39.403;428.156;119.986;54;32.948;11.048;973.663;320.338;25.314;1;173.191;63.034;141.0;50.808;4;273.0;1.141;47.388;centro-oeste;julho;2022
Mato Grosso;2.512.858;856.143;  -   ;88.084;47.519;284.964;58.606;3;7.65;4.465;701.409;278.564;14.427;3;51.87;84.085;136.0;7.607;6;163.0;1.076;26.078;centro-oeste;julho;2022
Mato Grosso do Sul;1.797.168;817.320;10;60.001;23.003;188.052;48.067;33;3.881;4.517;407.251;128.527;10.712;3;40.563;39.432;174.0;4.627;4;283.0;576.0;20.132;centro-oeste;julho;2022
